product_name,manufacturer,root_category,category,product_rating,product_price,review_rating,review_title,review_text,reviewer_name
28 cu. ft. 3 Door French Door Refrigerator with Ice and Water Dispenser and Craft Ice in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,3,If you have a large family....Don't buy This one,"I have a number of family members come to visit a lot, however I never have enough Ice.  They did a wonderful job in most other areas, but after owning a Samsung, I expect the same satisfaction or better.  The Craft Ice is a joke.  It only produces 6 balls every 16 hrs or so.  Who can wait that long to provide ice to visitors and my large family.  My previous Samsung produced so much Ice, I had to turn it off but I never had to go out and buy more ice on large gatherings.",tyl███dt
28 cu. ft. 3 Door French Door Refrigerator with Ice and Water Dispenser and Craft Ice in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,1,Broke in less than a year,"The evaporator fan started making noise after 8 months of having it. Shortly after that, the fridge then had an FFE error. We lost all our food. Do NOT go with LG products.",12346
28 cu. ft. 3 Door French Door Refrigerator with Ice and Water Dispenser and Craft Ice in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,4,Plenty of room,I wanted a refrigerator that provided room in both the above portion and freezer. Also needed water & ice dispenser. Did have a leak with the water/ice tank inside door. Found hose came loose on side of tank.,Mik███53
28 cu. ft. 3 Door French Door Refrigerator with Ice and Water Dispenser and Craft Ice in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,5,GREAT APPLIANCE,[This review was collected as part of a promotion.] Only had mine a couple of weeks and ITS SUPER GREAT!,JDu███
28 cu. ft. 3 Door French Door Refrigerator with Ice and Water Dispenser and Craft Ice in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,5,Hom███pot███tom███,I love this fridge. Plenty of room for everything and the ice balls are so cool!!!,Hom███pot███tom███
28 cu. ft. 3 Door French Door Refrigerator with Ice and Water Dispenser and Craft Ice in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,3,Hom███pot███tom███,"The door was damaged when the Home Depot employees bought it thru the door, they said another door would be ordered and they would install however I have not heard anything back yet",Hom███pot███tom███
28 cu. ft. 3 Door French Door Refrigerator with Ice and Water Dispenser and Craft Ice in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,5,Great Buy LG Refrigerator,This refrigerator is the BEST buy I have purchased in years it does everything thing a refrigerator should do plenty of storage Duo ice dispensers very pleased with this LG refrigerator,LG ███ulo███
28 cu. ft. 3 Door French Door Refrigerator with Ice and Water Dispenser and Craft Ice in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,1,Beware of LG Customer Service,Purchased this fridge along with an entire suite of LG products in December 2023. Due to 500 word limit *PLEASE SEE IMAGE FOR COMPLETE REVIEW*,Ric███dW
28 cu. ft. 3 Door French Door Refrigerator with Ice and Water Dispenser and Craft Ice in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,5,"Great features, quality at an affordable price.","[This review was collected as part of a promotion.] I bought this fridge 1 month ago & was installed 2.5 weeks ago.
So far, I love it. So much better than my previous fridge (2 doors). A lot features, I like the craft ice maker but especially having this fridge linked to my phone. All info, issues, resolutions can be access on your phone.
I really recommend this fridge.",Pat███k01███
28 cu. ft. 3 Door French Door Refrigerator with Ice and Water Dispenser and Craft Ice in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,1,Beware of the Ice Maker,"I purchased an LG refrigerator/freezer and have had nothing but trouble with it. The main issue has been with the ice-maker, which has been a constant source of frustration. Initially, the ice got stuck in the icebox. When I tried to resolve this issue through the warranty protection program, I found the process to be incredibly cumbersome.

The first repair attempt didn't solve the problem, and shortly after, the ice-maker broke again. This time, the ice got stuck in the dispenser, causing it to melt and create a mess all over the floor and inside the freezer. To make matters worse, the warranty protection program proved to be worthless. Despite multiple attempts to get the issue fixed, I was left with a defective appliance and a significant amount of frustration. I will avoid buying appliances from Home Depot, as they sell third-party warranty protection programs but do not stand behind the products themselves.",MBr███er
